t,u,v
74,-0.931491,-0.245304
74.1,-0.923111,-0.245519
74.2,-0.914584,-0.245663
74.3,-0.905903,-0.245738
74.4,-0.897057,-0.245742
74.5,-0.888035,-0.245674
74.6,-0.878828,-0.245532
74.7,-0.869424,-0.245317
74.8,-0.859808,-0.245026
74.9,-0.849968,-0.244659
75,-0.839889,-0.244214
75.1,-0.829553,-0.243689
75.2,-0.818943,-0.243083
75.3,-0.808039,-0.242394
75.4,-0.79682,-0.241619
75.5,-0.785263,-0.240758
75.6,-0.773342,-0.239807
75.7,-0.761029,-0.238764
75.8,-0.748294,-0.237626
75.9,-0.735102,-0.23639
76,-0.721415,-0.235052
76.1,-0.707193,-0.23361
76.2,-0.69239,-0.232059
76.3,-0.676955,-0.230395
76.4,-0.660832,-0.228613
76.5,-0.643958,-0.226707
76.6,-0.626262,-0.224673
76.7,-0.607667,-0.222503
76.8,-0.588086,-0.220192
76.9,-0.567419,-0.21773
77,-0.545557,-0.215109
77.1,-0.522375,-0.21232
77.2,-0.497734,-0.209353
77.3,-0.471476,-0.206195
77.4,-0.443422,-0.202833
77.5,-0.413371,-0.199254
77.6,-0.381095,-0.195439
77.7,-0.346337,-0.191372
77.8,-0.308806,-0.187032
77.9,-0.268177,-0.182395
78,-0.224081,-0.177436
78.1,-0.176113,-0.172127
78.2,-0.123823,-0.166434
78.3,-0.0667226,-0.160322
78.4,-0.00429035,-0.153751
78.5,0.064012,-0.146678
78.6,0.138716,-0.139054
78.7,0.220306,-0.130828
78.8,0.309162,-0.121946
78.9,0.405479,-0.112352
79,0.509163,-0.101993
79.1,0.619711,-0.0908183
79.2,0.736094,-0.0787868
79.3,0.856665,-0.0658707
79.4,0.979145,-0.0520602
79.5,1.10073,-0.0373682
79.6,1.21831,-0.0218324
79.7,1.32882,-0.00551435
79.8,1.42965,0.0115037
79.9,1.51892,0.0291249
80,1.59564,0.0472456
80.1,1.65974,0.0657618
80.2,1.71186,0.0845755
80.3,1.75315,0.103598
80.4,1.78501,0.122754
80.5,1.8089,0.141978
80.6,1.82623,0.161218
80.7,1.83824,0.18043
80.8,1.846,0.199582
80.9,1.8504,0.218647
81,1.85217,0.237604
81.1,1.85186,0.256438
81.2,1.84995,0.275137
81.3,1.8468,0.293691
81.4,1.84266,0.312094
81.5,1.83777,0.33034
81.6,1.8323,0.348426
81.7,1.82636,0.36635
81.8,1.82005,0.384109
81.9,1.81347,0.401702
82,1.80665,0.419128
82.1,1.79966,0.436388
82.2,1.79252,0.45348
82.3,1.78527,0.470406
82.4,1.77792,0.487165
82.5,1.77049,0.503758
82.6,1.76299,0.520185
82.7,1.75544,0.536447
82.8,1.74784,0.552545
82.9,1.74019,0.568479
83,1.73251,0.584251
83.1,1.72478,0.59986
83.2,1.71703,0.615307
83.3,1.70924,0.630594
83.4,1.70143,0.645722
83.5,1.69358,0.66069
83.6,1.68571,0.675499
83.7,1.6778,0.690152
83.8,1.66987,0.704647
83.9,1.66191,0.718987
84,1.65392,0.733171
84.1,1.6459,0.747201
84.2,1.63785,0.761078
84.3,1.62977,0.774801
84.4,1.62165,0.788372
84.5,1.61351,0.801791
84.6,1.60533,0.81506
84.7,1.59711,0.828179
84.8,1.58886,0.841148
84.9,1.58058,0.853968
85,1.57225,0.86664
85.1,1.56389,0.879164
85.2,1.55548,0.891542
85.3,1.54704,0.903773
85.4,1.53855,0.915859
85.5,1.53001,0.927799
85.6,1.52143,0.939595
85.7,1.5128,0.951246
85.8,1.50411,0.962754
85.9,1.49538,0.974119
86,1.48659,0.985342
86.1,1.47775,0.996422
86.2,1.46885,1.00736
86.3,1.45989,1.01816
86.4,1.45086,1.02881
86.5,1.44177,1.03933
86.6,1.43261,1.04971
86.7,1.42338,1.05994
86.8,1.41408,1.07004
86.9,1.4047,1.08
87,1.39525,1.08982
87.1,1.38571,1.0995
87.2,1.37608,1.10904
87.3,1.36636,1.11844
87.4,1.35655,1.1277
87.5,1.34664,1.13683
87.6,1.33663,1.14582
87.7,1.32651,1.15467
87.8,1.31627,1.16338
87.9,1.30592,1.17196
88,1.29545,1.18039
88.1,1.28485,1.18869
88.2,1.27411,1.19685
88.3,1.26323,1.20487
88.4,1.2522,1.21275
88.5,1.24101,1.22049
88.6,1.22966,1.22809
88.7,1.21813,1.23556
